Date;Product_Category;Product;City;Customer_Group;Point_Format;Sales_kg
01.01.2023;4;29;8;2;1;9,5
01.01.2023;4;29;8;2;3;38
01.01.2023;4;30;8;2;1;3,8
01.01.2023;4;30;8;2;3;60,8
01.01.2023;4;31;8;2;1;5,7
01.01.2023;4;31;8;2;3;81,7
01.01.2023;1;276;8;2;1;11,2
01.01.2023;4;291;8;2;1;1,9
01.01.2023;1;505;8;2;1;1,8
01.01.2023;1;505;8;2;3;21,6
01.01.2023;4;749;8;2;1;11,4
02.01.2023;4;29;1;2;1;45,6
02.01.2023;4;29;8;2;1;4,75
02.01.2023;4;29;1;2;3;327,75
02.01.2023;4;29;8;2;3;67,45
02.01.2023;4;29;1;2;8;906,3
02.01.2023;4;29;7;2;8;695,4
02.01.2023;4;30;1;2;1;41,8
02.01.2023;4;30;8;2;1;13,3
02.01.2023;4;30;1;2;3;338,2
02.01.2023;4;30;8;2;3;76,95
02.01.2023;4;30;1;2;8;1054,5
02.01.2023;4;30;7;2;8;570
02.01.2023;4;31;1;2;1;40,85
02.01.2023;4;31;8;2;1;8,55
02.01.2023;4;31;1;2;3;221,35
02.01.2023;4;31;8;2;3;99,75
02.01.2023;4;31;1;2;8;165,3
02.01.2023;1;276;1;2;1;100,8
02.01.2023;1;276;8;2;1;44,8
02.01.2023;4;291;1;2;1;24,7
02.01.2023;1;336;1;2;1;21,6
02.01.2023;1;336;8;2;1;64,8
02.01.2023;1;336;7;2;8;43,2
02.01.2023;1;505;1;2;1;126
02.01.2023;1;505;8;2;1;26,1
02.01.2023;1;505;1;2;3;1951,2
02.01.2023;1;505;8;2;3;206,1
02.01.2023;15;527;1;259;2;7,2
02.01.2023;15;527;1;259;3;109,2
02.01.2023;15;527;8;259;3;2,4
02.01.2023;4;749;1;2;1;5,7
03.01.2023;4;29;1;2;1;84,55
03.01.2023;4;29;3;2;1;62,7
03.01.2023;4;29;6;2;1;45,6
03.01.2023;4;29;7;2;1;35,15
03.01.2023;4;29;8;2;1;2,85
03.01.2023;4;29;9;2;1;-17,1
03.01.2023;4;29;15;2;1;18,05
03.01.2023;4;29;1;2;3;473,1
03.01.2023;4;29;5;2;3;153,9
03.01.2023;4;29;8;2;3;136,8
03.01.2023;4;29;15;2;3;480,7
03.01.2023;4;29;1;2;8;872,1
03.01.2023;4;29;2;2;8;934,8
03.01.2023;4;29;3;2;8;193,8
03.01.2023;4;29;7;2;8;364,8
03.01.2023;4;29;9;2;8;359,1
03.01.2023;4;29;15;2;8;769,5
03.01.2023;4;30;1;2;1;24,7
03.01.2023;4;30;3;2;1;68,4
03.01.2023;4;30;6;2;1;57
03.01.2023;4;30;7;2;1;40,85
03.01.2023;4;30;8;2;1;4,75
03.01.2023;4;30;9;2;1;-28,5
03.01.2023;4;30;15;2;1;22,8
03.01.2023;4;30;1;2;3;413,25
03.01.2023;4;30;5;2;3;171
03.01.2023;4;30;6;2;3;5,7
03.01.2023;4;30;8;2;3;102,6
03.01.2023;4;30;15;2;3;508,25
03.01.2023;4;30;3;2;8;262,2
03.01.2023;4;30;7;2;8;336,3
03.01.2023;4;30;9;2;8;1020,3
03.01.2023;4;30;15;2;8;701,1
03.01.2023;4;31;1;2;1;47,5
03.01.2023;4;31;3;2;1;34,2
03.01.2023;4;31;5;2;1;5,7
03.01.2023;4;31;6;2;1;57
03.01.2023;4;31;7;2;1;49,4
03.01.2023;4;31;8;2;1;5,7
03.01.2023;4;31;9;2;1;-22,8
03.01.2023;4;31;11;2;1;5,7
03.01.2023;4;31;15;2;1;28,5
03.01.2023;4;31;1;2;3;165,3
03.01.2023;4;31;5;2;3;142,5
03.01.2023;4;31;8;2;3;113,05
03.01.2023;4;31;15;2;3;649,8
03.01.2023;4;31;1;2;8;678,3
03.01.2023;4;31;2;2;8;1407,9
03.01.2023;1;276;1;2;1;100,8
03.01.2023;1;276;3;2;1;78,4
